2019-03-28 17:43,#工程动态#,合肥轨道交通工程动态月日合肥轨道交通号线样板站新海大道站启动环控电控柜带电调试工作标志着号线车站设备调试工作正式启动加油加油
2019-03-27 17:19,#工程动态#,合肥轨道交通工程动态月日上午随着盾构机刀盘缓缓破土而出我市轨道交通号线方兴大道站长宁大道站盾构区间左线顺利贯通至此该盾构区间顺利实现双线贯通鼓掌鼓掌
2019-03-26 11:10,#合轨动态#,合肥轨道交通合轨动态碧波绿来了合肥轨道交通号线首列车抵达车辆段鼓掌鼓掌鼓掌鼓掌鼓掌鼓掌
2019-03-22 23:44,#情况通报#,合肥轨道交通情况通报月日晚约我市轨道交通号线局部线段朱岗站秋浦河路站因朱岗站电源板卡突发故障导致列车分别出现至分秒不等的短时延迟市轨道公司第一时间组织专业人员紧急排查故障全力进行抢修至当晚约故障设备及时完成修复号线全线恢复正常运营广大乘客可继续放展开全文
2019-03-22 17:55,#服务资讯#,合肥轨道交通服务资讯月日凌晨我市轨道交通号线包河大道站二期交通导改顺利完成此次交通导改后包河大道实行南北通行此外根据计划安排轨道交通号线也将在下周迎来重大节点首列车即将抵达磨店车车辆段想知道更多详情吗请戳服务资讯轨道交通号线包河大道站二期交服务资讯轨道交通号线包河大道站二期交
2019-03-21 17:23,#合轨风采#,合肥轨道交通合轨风采近日由共青团安徽省委主办的年安徽省争做新时代向上向善好青年活动评选结果揭晓合肥轨道公司名青年员工荣获年安徽省争做新时代向上向善好青年提名奖鼓掌鼓掌鼓掌鼓掌
2019-03-20 16:16,#“轨道先锋”系列报道二#,合肥轨道交通轨道先锋系列报道二刘肖年毕业于西北工业大学电路与系统专业毕业后便一直从事车辆系统总体设计工作年月成为合肥轨道交通建设队伍的一员入职以来她把所有的心血倾注在了所钟爱的专业技术领域将汗水挥洒在设备设计安装的每一个角落多次荣获合肥轨道公司先进个人展开全文
2019-03-18 17:57,合肥轨道交通发布了头条文章合肥轨道交通线网单日客流创历史新高达万人次合肥轨道交通线网单日客流创历史新高达合肥轨道交通线网单日客流创历史新高达
2019-03-14 18:02,#活动回顾#,合肥轨道交通活动回顾月日新一期合肥轨道交通排队候车主题宣传日活动在号线大东门站号线四牌楼站三里庵站如期举行来自市轨道公司的余名一线员工党员代表和名来自安徽工业经济职业技术学院的志愿者们充当引导员在车站引导广大乘客有序排队文明乘车在引导员们的耐心周到服务下众多展开全文
2019-03-14 17:45,#工程动态#,合肥轨道交通工程动态轨道交通号线铺轨施工完成过半更多在建线路进展尽在这里求关注求关注春回大地千山秀日照神州百业兴连日来的晴好天气为我市轨道交通在建工程安全快速推进提供了有利条件自节后复工以来市轨道公司组织各参建单位迅速掀起大干快干高潮各在建线路进展顺利其中即将于今年年展开全文
2019-03-13 01:28,笑部长你见过杀鬼子前要涂圆管的抗战英雄吗笑部长的微博视频笑部长的微博视频
2019-03-12 17:33,#媒体聚焦#,合肥轨道交通媒体聚焦合肥轨道交通单周线网日均客流首次突破万人次刚刚过去的一周月日日合肥轨道交通线网单周日均客流再创新高超过了万人次这在合肥轨道交通开通以来还是首次中国赞中国赞中国赞中国赞求关注求关注详情请戳媒体聚焦合肥轨道交通单周线网日均客流首媒体聚焦合肥轨道交通单周线网日均客流首
